[0mCHECKING: 0[0m
Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [0    ] The Void                                     (3001)
   2) [1    ] Limbo                                        
   8) [2507 ] Snowy Hills                                  
   9) [2508 ] Snowy slope                                  
  10) [2509 ] Snowy Hills                                  
  11) [2510 ] Snowy Hills                                  
  12) [2511 ] Snow Covered Mountains                       
  13) [2512 ] Snow Capped Peak                             
  14) [2513 ] Snowy Covered Mountains                      
  15) [2514 ] Snowy Covered Mountains                      
  16) [2515 ] Snowy Covered Mountains                      
  17) [2516 ] Snowy Covered Mountains                      
  18) [2517 ] Snowy Covered Mountains                      
  19) [2518 ] Snow Covered Path                            
  20) [2519 ] Snow Covered Path                            
  21) [2520 ] Snow Covered Path                            
  22) [2521 ] Snow Covered Path                            
  23) [2522 ] Snow Covered Path                            
  24) [2523 ] Snow Covered Path                            
  25) [2524 ] Snow Covered Path                            
  26) [2525 ] Snow Covered Path                            
  27) [2526 ] Snow Covered Path                            
  28) [2527 ] Snow Covered Path                            
  29) [2528 ] Snow Covered Path                            
  30) [2529 ] Snow Covered Path                            
  31) [2530 ] Snow Covered Path                            
  32) [2531 ] Snow Covered Path                            
  33) [2532 ] Icy Path                                     
  34) [2533 ] Icy Field                                    
  35) [2534 ] Icy Field                                    
  36) [2535 ] Icy Field                                    
  37) [2536 ] Icy Field                                    
  38) [2537 ] Icy Field                                    
  39) [2538 ] Icy Field                                    
  40) [2539 ] Icy Field                                    
  41) [2540 ] Icy Field                                    
  42) [2541 ] Icy Field                                    
  43) [2542 ] Icy Field                                    
  44) [2543 ] Icy Field                                    
  45) [2544 ] Icy Field                                    
  46) [2545 ] Icy Field                                    
  47) [2546 ] Icy Field                                    
  48) [2547 ] Icy Field                                    
  49) [2548 ] Icy Field                                    
  50) [2549 ] Icy Field                                    
  51) [2550 ] Icy Field                                    
  52) [2551 ] Icy Field                                    
  53) [2552 ] Icy Field                                    
  54) [2553 ] Icy Field                                    
  55) [2554 ] Icy Field                                    
  56) [2555 ] Icy Field                                    
  57) [2556 ] Snow Covered Path                            
  58) [2557 ] Snow Covered Path                            
  59) [2558 ] Icy Field                                    
  60) [2559 ] Village Street                               
  61) [2560 ] Village Street                               
  62) [2561 ] Village Street                               
  63) [2562 ] Village Street                               
  64) [2563 ] Village Square                               
  65) [2564 ] Village Street                               
  66) [2565 ] The Barbarian Forge                          
  67) [2566 ] Village Street                               
  68) [2567 ] Village Street                               
  69) [2568 ] Champion's Hut                               
  70) [2569 ] Village Street                               
  71) [2570 ] Leader's Hut                                 
  72) [2571 ] Snowy Path                                   
  73) [2572 ] Snowy Path                                   
  74) [2573 ] Snowy Path                                   
  75) [2574 ] Snowy Path                                   
  76) [2575 ] Large Cave Mouth                             
  77) [2576 ] Large Cavern                                 
  78) [2577 ] Large Cavern                                 
  79) [2578 ] Large Cavern                                 
  80) [2579 ] Large Cavern                                 
  81) [2580 ] King's Cavern                                
  82) [2581 ] Eskimo Village                               
  83) [2582 ] Igloo                                        
  84) [2583 ] Igloo                                        
  85) [2584 ] Igloo                                        
  86) [2585 ] Igloo                                        
  87) [2586 ] Ice lake                                     
  88) [2587 ] Ice lake                                     
  89) [2588 ] Ice lake                                     
  90) [2589 ] Igloo                                        
  91) [2590 ] Village Square                               
  92) [2591 ] Igloo                                        
  93) [2592 ] Igloo                                        
  94) [2593 ] Ice lake                                     
  95) [2594 ] Ice lake                                     
  96) [2595 ] Ice lake                                     
  97) [2596 ] Guard's Igloo                                
  98) [2597 ] Igloo                                        
  99) [2598 ] Ice lake                                     
 100) [2599 ] King Eskimo's Chamber                        
 101) [2600 ] Cave Mouth                                   
 102) [2601 ] Ice Cave                                     
 103) [2602 ] Ice Cave                                     
 104) [2603 ] Ice Cave                                     
 105) [2604 ] Ice Cave                                     
 106) [2605 ] Ice Cave                                     
 107) [2606 ] Ice Cave                                     
 108) [2607 ] Trampoline?                                  
 109) [2608 ] Ice Cave                                     
 110) [2609 ] Ice Cave                                     
 111) [2610 ] Ice Cave                                     
 112) [2611 ] Ice Cave                                     
 113) [2612 ] Ice Cave                                     
 114) [2613 ] Ice cave                                     
 115) [2614 ] Ice cave                                     
 116) [2615 ] Ice Cave                                     
 117) [2616 ] Ice Cave                                     
 118) [2617 ] Ice Cave                                     
 119) [2618 ] Ice cave                                     
 120) [2619 ] Ice cave                                     
 121) [2620 ] Ice cave                                     
 122) [2621 ] Ice cave                                     
 123) [2622 ] Ice cave                                     
 124) [2623 ] Ice Cave                                     
 125) [2624 ] Ice Cave                                     
 126) [2625 ] Ice Cave                                     
 127) [2626 ] Ice Cave                                     
 128) [2627 ] Ice Cave                                     
 129) [2628 ] Ice Cave                                     
 130) [2629 ] Ice Door                                     
 131) [2630 ] Frozen Tunnel                                
 132) [2631 ] Frozen Tunnel                                
 133) [2632 ] Frozen Tunnel                                
 134) [2633 ] Frozen Tunnel                                
 135) [2634 ] Frozen Intersection                          
 136) [2635 ] Frozen Tunnel                                
 137) [2636 ] Frozen Tunnel                                
 138) [2637 ] Frozen Tunnel                                
 139) [2638 ] Frozen Tunnel                                
 140) [2639 ] Frozen Tunnel                                
 141) [2640 ] Frozen Tunnel                                
 142) [2641 ] Frozen Tunnel                                
 143) [2642 ] Frozen Tunnel                                
 144) [2643 ] Frozen Tunnel                                
 145) [2644 ] Frozen Tunnel                                
 146) [2645 ] Frozen Tunnel                                
 147) [2646 ] Frozen Tunnel                                
 148) [2647 ] Frozen Tunnel                                
 149) [2648 ] Frozen Tunnel                                
 150) [2649 ] Frozen Tunnel                                
 151) [2650 ] Frozen Tunnel                                
 152) [2651 ] Frozen Tunnel                                
 153) [2652 ] Frozen Tunnel                                
 154) [2653 ] Frozen Tunnel                                
 155) [2654 ] Frozen Tunnel                                
 156) [2655 ] Frozen Tunnel                                
 157) [2656 ] Frozen Tunnel                                
 158) [2657 ] Frozen Tunnel                                
 159) [2658 ] Frozen Tunnel                                
 160) [2659 ] Passage Through the ice                      
 161) [2660 ] Passage Through the ice                      
 162) [2661 ] Passage Through the ice                      
 163) [2662 ] Last Chance Room                             
 164) [2663 ] Remorahz's Lair                              
 165) [2664 ] The Treasure Was An Illusion!!!!!            (3001)
 166) [2665 ] Bouncing in the air                          
 167) [2666 ] Bouncing in the air                          
 168) [2667 ] Bouncing in the air                          
 169) [2668 ] Coins in the air                             
 170) [2669 ] Skewered on a very large and pointy stalactite! 
 171) [2670 ] Cold Wind                                    
 172) [2671 ] The Arctic Empire Stop                       

>[0;00m
[0mCHECKING: 27[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [2700 ] Inside the Boulder                           
   2) [2701 ] Pit of Despair                               
   3) [2702 ] Pit of Despair                               
   4) [2703 ] Deep in the Pit of Despair                   
   5) [2710 ] Devahn River                                 (3155)
   6) [2711 ] Grassy Flat                                  
   7) [2712 ] Devahn River                                 
   8) [2713 ] Inside the Cave                              
   9) [2714 ] Devahn River                                 
  10) [2715 ] In the Cave                                  
  11) [2716 ] Devahn River                                 
  12) [2717 ] In the Cave                                  
  13) [2718 ] Devahn River                                 
  14) [2719 ] In the Cave                                  
  15) [2720 ] Devahn River                                 
  16) [2721 ] In the Cave                                  
  17) [2722 ] Devahn River                                 
  18) [2723 ] In the Cave                                  
  19) [2724 ] Devahn River                                 
  20) [2725 ] In the Cave                                  
  21) [2726 ] Devahn River                                 
  22) [2727 ] In the Cave                                  
  23) [2728 ] Devahn River                                 
  24) [2729 ] In the Cave                                  
  25) [2730 ] Devahn River                                 
  26) [2731 ] In the Cave                                  
  27) [2732 ] Dirt Road                                    
  28) [2733 ] In the Cave                                  
  29) [2734 ] Dirt Road                                    
  30) [2735 ] In the Cave                                  
  31) [2736 ] Dirt Road                                    
  32) [2737 ] Back of the Cave                             
  33) [2738 ] Swamp of Sadness                             
  34) [2739 ] Merlin's Private Chamber                     
  35) [2740 ] Swamp of Sadness                             
  36) [2741 ] Dirt Road                                    
  37) [2742 ] Swamp of Sadness                             
  38) [2743 ] Dirt Road                                    
  39) [2744 ] Swamp of Sadness                             
  40) [2745 ] Top of the Hill                              
  41) [2746 ] Swamp of Sadness                             
  42) [2747 ] Inside the tree                              
  43) [2748 ] Swamp of Sadness                             
  44) [2749 ] Merlin's Hangout                             (3001)
  45) [2750 ] Swamp of Sadness                             
  46) [2751 ] Underworld Entrance                          
  47) [2752 ] Swamp of Sadness                             
  48) [2753 ] The Underworld                               
  49) [2754 ] On a bank                                    
  50) [2755 ] The Underworld                               
  51) [2756 ] Dirt Road                                    
  52) [2757 ] The Underworld                               
  53) [2758 ] In the Forest                                
  54) [2759 ] The Underworld                               
  55) [2760 ] Deep in the Forest                           
  56) [2761 ] The Underworld                               
  57) [2762 ] Deep in the Forest                           
  58) [2763 ] The Underworld                               
  59) [2764 ] Deep in the Forest                           
  60) [2765 ] The Underworld                               
  61) [2766 ] Deep in the Forest                           
  62) [2767 ] The Underworld                               
  63) [2768 ] Dark Pool                                    
  64) [2769 ] The Underworld                               
  65) [2770 ] Deep in the Forest                           
  66) [2771 ] The Underworld                               
  67) [2772 ] Deep in the Forest                           
  68) [2773 ] In the Lake                                  
  69) [2774 ] Deep in the Forest                           
  70) [2775 ] Cave of Green Giant                          
  71) [2776 ] Deep in the Forest                           
  72) [2777 ] Bat Cave                                     
  73) [2778 ] Living Room                                  
  74) [2779 ] Mystic Dragon Lair                           
  75) [2780 ] In the Basement                              
  76) [2781 ] In the Lake                                  
  77) [2782 ] Deep in the Forest                           
  78) [2783 ] In the Lake                                  
  79) [2784 ] Deep in the Forest                           
  80) [2785 ] In the Lake                                  
  81) [2786 ] Deep in the Forest                           
  82) [2787 ] In the Lake                                  
  83) [2789 ] In the Lake                                  
  84) [2790 ] Deep in the Forest                           
  85) [2791 ] In the Lake                                  
  86) [2792 ] Deep in the Forest                           
  87) [2793 ] In the Lake                                  
  88) [2794 ] Deep in the Forest                           
  89) [2795 ] In the Lake                                  
  90) [2796 ] Dirt Road                                    
  91) [2797 ] In the Lake                                  
  92) [2798 ] Dirt Road                                    
  93) [2799 ] Mage Lab                                     
  94) [2800 ] In a Bubble                                  
  95) [2802 ] At the edge of the Lake                      
  96) [2803 ] Road to the Castle                           
  97) [2804 ] Road to Carteloise Castle                    
  98) [2805 ] Entrance to Calidone Forest                  
  99) [2806 ] Calidone Forest                              
 100) [2807 ] Calidone Forest                              
 101) [2808 ] Calidone Forest                              
 102) [2809 ] Calidone Forest                              
 103) [2810 ] Calidone Forest                              
 104) [2811 ] Calidone Forest                              
 105) [2812 ] Calidone Forest                              
 106) [2813 ] Calidone Forest                              
 107) [2814 ] Calidone Forest                              
 108) [2815 ] Sir Marhaus' Tent                            
 109) [2816 ] Calidone Forest                              
 110) [2817 ] Calidone Forest                              
 111) [2818 ] Calidone Forest                              
 112) [2819 ] Calidone Forest                              
 113) [2820 ] Calidone Forest                              
 114) [2821 ] Calidone Forest                              
 115) [2822 ] Calidone Forest                              
 116) [2823 ] Calidone Forest                              
 117) [2824 ] Calidone Forest                              
 118) [2825 ] Calidone Forest                              
 119) [2826 ] Entrance to Combat Field                     
 120) [2827 ] White Knight Field                           
 121) [2828 ] Red Knight Field                             
 122) [2829 ] Blue Knight Field                            
 123) [2830 ] Black Knight Field                           
 124) [2831 ] Calidone Forest                              
 125) [2832 ] Inside Marhaus' Tent                         
 126) [2833 ] Entrance to Magical Combat Field             
 127) [2834 ] White Mage Field                             
 128) [2835 ] Red Mage Field                               
 129) [2836 ] Blue Mage Field                              
 130) [2837 ] Black Mage Field                             
 131) [2838 ] Open Field                                   
 132) [2839 ] Road to Carteloise Castle                    
 133) [2840 ] In front of Carteloise Castle                
 134) [2841 ] Main Entrance Hall                           
 135) [2842 ] Bedroom                                      
 136) [2843 ] Kitchen                                      
 137) [2844 ] Private Chamber                              
 138) [2845 ] Road to the Castle                           
 139) [2846 ] Road to the Castle                           
 140) [2847 ] Road to the Castle                           
 141) [2848 ] Road to the Castle                           
 142) [2849 ] Road to the Castle                           
 143) [2850 ] Entrance to Camelot's Castle                 
 144) [2851 ] Grand Hall                                   
 145) [2852 ] Castle Kitchen                               
 146) [2853 ] In the Dumbwaiter                            
 147) [2854 ] In the Dumbwaiter                            
 148) [2855 ] Northern Cell                                
 149) [2856 ] Southern Cell                                
 150) [2857 ] In the Dungeons                              
 151) [2858 ] In the Dungeons                              
 152) [2859 ] Banquet Hall                                 
 153) [2860 ] Hallway                                      
 154) [2861 ] Round Table Room                             
 155) [2862 ] Throne Room                                  
 156) [2863 ] Upper Part of Grand Hall                     
 157) [2864 ] Main Bedroom                                 
 158) [2865 ] Recreation Room                              
 159) [2866 ] Balcony                                      
 160) [2867 ] Morgan's bedroom                             
 161) [2868 ] Castle Garden                                
 162) [2869 ] Castle Garden                                
 163) [2870 ] Castle Garden                                
 164) [2871 ] Castle Garden                                
 165) [2872 ] Castle Garden                                
 166) [2873 ] Castle Garden                                
 167) [2874 ] Castle Garden                                
 168) [2875 ] Mordred's Chamber                            
 169) [2876 ] Castle Library                               
 170) [2877 ] Secret Passage                               
 171) [2878 ] Secret Passage                               
 172) [2879 ] Secret Passage                               
 173) [2880 ] Merlin's Laboratory                          
 174) [2881 ] Rapids                                       
 175) [2882 ] Rapids                                       
 176) [2883 ] Rapids                                       
 177) [2884 ] Rapids                                       
 178) [2885 ] Mild Rapids                                  
 179) [2886 ] Canyon River                                 
 180) [2887 ] Canyon River                                 
 181) [2888 ] Whirlpool!                                   
 182) [2889 ] SPLASH!                                      (3001)(5001)
 183) [2890 ] The Landing                                  
 184) [2891 ] Canyon Marsh                                 
 185) [2892 ] Canyon Marsh                                 
 186) [2893 ] Canyon Marsh                                 

>[0;00m
[0mCHECKING: 29[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [2982 ] The entrance to Donner's Den of Iniquity     (2153)
   2) [2983 ] Standing at the bar                          
   3) [2984 ] Among the stools                             
   4) [2985 ] Inside the bar                               
   5) [2986 ] Stairs to the manager's loft                 
   6) [2987 ] Inside the bar                               
   7) [2988 ] Inside the bar                               [TRIG] 
   8) [2989 ] The back room                                
   9) [2990 ] The manager's loft                           
  10) [2991 ] The storeroom                                

>[0;00m
[0mCHECKING: 30[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [3000 ] Hall of Adventurers                          
   2) [3001 ] The Temple Of Midgaard                       (100)
   3) [3002 ] The North Temple Square                      
   4) [3003 ] The Market Square                            
   5) [3004 ] The Tradesmen's Square                       
   6) [3005 ] The Common Square                            
   7) [3006 ] Entrance to the Cryogenic Center             
   8) [3007 ] Entrance to the Grunting Boar Inn            
   9) [3008 ] Main Street                                  
  10) [3009 ] Main Street                                  
  11) [3010 ] Main Street                                  
  12) [3011 ] Inside the West Gate of Midgaard             
  13) [3012 ] Main Street                                  
  14) [3013 ] Main Street                                  
  15) [3014 ] Main Street                                  
  16) [3015 ] Inside the East Gate of Midgaard             
  17) [3016 ] High Street                                  (2482)
  18) [3017 ] High Street                                  (1901)
  19) [3018 ] High Street                                  
  20) [3019 ] Western Wall Road                            
  21) [3020 ] High Street                                  
  22) [3021 ] High Street                                  
  23) [3022 ] High Street                                  
  24) [3023 ] Eastern Wall Road                            
  25) [3024 ] Poor Alley                                   
  26) [3025 ] Poor Alley                                   
  27) [3026 ] Poor Alley                                   
  28) [3027 ] Western Wall Road                            
  29) [3028 ] Dark Alley                                   
  30) [3029 ] Dark Alley                                   
  31) [3030 ] Dark Alley                                   
  32) [3031 ] Eastern Wall Road                            (1911)
  33) [3032 ] Western Wall Road                            
  34) [3033 ] Eastern Wall Road                            
  35) [3034 ] Western Wall Road                            
  36) [3035 ] Eastern Wall Road                            
  37) [3036 ] The Bakery                                   
  38) [3037 ] The Armory                                   
  39) [3038 ] The Flower Shop                              
  40) [3039 ] The Apothecary                               
  41) [3040 ] The Magic Shop                               
  42) [3041 ] The Tinker's Shop                            
  43) [3042 ] The General Store                            
  44) [3043 ] The Pet Shop                                 [TRIG] 
  45) [3044 ] The Weaponsmith's Shop                       
  46) [3045 ] The Post Office                              
  47) [3046 ] First Bank of Midgaard                       [TRIG] 
  48) [3047 ] Wally's Water Shoppe                         
  49) [3048 ] The South Watchtower                         
  50) [3049 ] On the Footbridge                            
  51) [3050 ] Entrance to the Ninja Guild                  
  52) [3051 ] The Ninjas' Training Room                    
  53) [3052 ] The North Watchtower                         
  54) [3053 ] The South Watchtower                         
  55) [3054 ] Entrance to the Swordsmen's Guild            
  56) [3055 ] The Tournament and Practice Yard             
  57) [3056 ] Entrance to the AntiPaladins' Guild          
  58) [3057 ] The AntiPaladin's Shrine                     
  59) [3058 ] Entrance Hall to the Guild of Thieves        
  60) [3059 ] The Secret Yard                              
  61) [3060 ] Entrance to the Clerics' Guild               
  62) [3061 ] Cleric's Inner Sanctum                       
  63) [3062 ] Entrance to the Sohei Guild                  
  64) [3063 ] The Sohei Practice Chamber                   
  65) [3064 ] Entrance to the Jedi Guild                   
  66) [3065 ] The Jedi Shrine                              
  67) [3066 ] On the Footbridge                            
  68) [3067 ] The North Watchtower                         
  69) [3068 ] Entrance to the Paladins' Guild              
  70) [3069 ] The Paladins' Shrine                         
  71) [3070 ] Entrance to the Sorcerers' Guild             
  72) [3071 ] The Sorcerer's Laboratory (4th floor)        
  73) [3072 ] The Pawn Shop                                
  74) [3073 ] The Grubby Inn                               
  75) [3074 ] Kelly's Taproom                              
  76) [3075 ] Uncle Lee's Chinese Restaurant               
  77) [3076 ] The Phrenologist's Shop                      [TRIG] 
  78) [3077 ] The Rendezvous Lounge                        
  79) [3078 ] The East Watchtower                          
  80) [3079 ] The Persian Rug Store                        
  81) [3080 ] The Tabard Inn                               (1906)
  82) [3081 ] The Levee                                    
  83) [3082 ] The Soothesayer's Shop                       (1925)
  84) [3083 ] The Warehouse                                
  85) [3084 ] Cryogenics Receiving Area                    
  86) [3085 ] The Reception                                [TRIG] 
  87) [3086 ] On the Footbridge                            
  88) [3087 ] The West Watchtower                          
  89) [3088 ] Western Wall Road                            
  90) [3089 ] Eastern Wall Road                            
  91) [3090 ] The Dump                                     (7300)
  92) [3091 ] Eastern Wall Road                            
  93) [3092 ] Western Wall Road                            
  94) [3093 ] Turn in the Wall Road                        
  95) [3094 ] Turn in the Wall Road                        
  96) [3095 ] Northern Wall Road                           
  97) [3096 ] Northern Wall Road                           
  98) [3097 ] Northern Wall Road                           
  99) [3098 ] Pet Shop Back Room                           
 100) [3099 ] Temple Square, North of Temple               
 101) [3100 ] The Ecclesiastical Boutique                  
 102) [3101 ] The Grunting Boar                            
 103) [3102 ] Sorcerer's Bar (3rd Floor)                   
 104) [3103 ] The Bar of Swordsmen                         
 105) [3104 ] The Thieves' Bar                             
 106) [3105 ] Western Wall Road                            
 107) [3106 ] On the Bridge                                (3200)
 108) [3107 ] Outside the West Gate of Midgaard            (3900)(6000)
 109) [3108 ] Outside the East Gate of Midgaard            (3908)(3503)
 110) [3109 ] By the Temple Altar                          
 111) [3110 ] Odin's Store                                 
 112) [3111 ] The Ninja Bar                                
 113) [3112 ] The AntiPaladin's Bar                        
 114) [3113 ] The Sohei Bar                                
 115) [3114 ] The Cantina                                  
 116) [3115 ] Middle Street                                
 117) [3116 ] Donation Room                                
 118) [3117 ] Middle Street                                
 119) [3118 ] Middle Street                                
 120) [3119 ] Inside the North Gate of Midgaard            (3904)
 121) [3120 ] Greater Midgaard Union Station               (9917)
 122) [3121 ] The Sorcerer's Guild (2nd Floor)             
 123) [3122 ] Roof of the Sorcerer's Guild                 
 124) [3123 ] South Temple Square                          
 125) [3124 ] The Northeastern Temple Square               
 126) [3125 ] The Eastern Temple Square                    
 127) [3126 ] The Southeastern Temple Square               
 128) [3127 ] The Southwestern Temple Square               
 129) [3128 ] The Western Temple Square                    
 130) [3129 ] The Northwestern Temple Square               
 131) [3130 ] The Central Square                           
 132) [3131 ] The Questing Room                            
 133) [3132 ] Western Path                                 
 134) [3133 ] Eastern Path                                 
 135) [3134 ] A Narrow Path                                
 136) [3135 ] Outside Castle Mistemere                     
 137) [3136 ] Northern Wall Road                           
 138) [3137 ] East Bouquet Street                          
 139) [3138 ] East Bouquet Street                          
 140) [3139 ] East Bouquet Street                          
 141) [3140 ] West Bouquet Street                          
 142) [3141 ] West Bouquet Street                          (1919)
 143) [3142 ] West Bouquet Street                          
 144) [3143 ] A New Path                                   
 145) [3144 ] A Strange Clearing                           
 146) [3145 ] Entrance to the Bard Guild                   (4700)
 147) [3146 ] Inside the Recording Studio                  
 148) [3147 ] Midgaard Paladin Shop                        
 149) [3150 ] Under the Bridge                             
 150) [3151 ] On the River                                 
 151) [3152 ] On the River                                 
 152) [3153 ] On the River                                 (16601)
 153) [3154 ] On the River                                 
 154) [3155 ] On the River                                 (5001)(2710)
 155) [3156 ] Newbie Meeting Room                          
 156) [3157 ] Adventurers' Social Center                   
 157) [3158 ] The Reading Room                             
 158) [3159 ] Adventurers' Meeting Room                    
 159) [3160 ] Newbie Area Transporter Room                 [TRIG] 
 160) [3161 ] Home                                         
 161) [3162 ] Chamber of Commerce                          
 162) [3163 ] The rickety rope bridge                      [TRIG] (5053)

>[0;00m
[0mCHECKING: 32[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [3200 ] Northwest end of Concourse                   (3106)
   2) [3201 ] Promenade                                    
   3) [3202 ] Promenade                                    
   4) [3203 ] Promenade                                    
   5) [3204 ] Northeast end of Concourse                   
   6) [3205 ] Park Entrance                                
   7) [3206 ] Park Cafe                                    
   8) [3207 ] Small path through the park                  
   9) [3208 ] Small path in the park                       
  10) [3209 ] Small path in the park                       
  11) [3210 ] Cityguard Headquarters                       
  12) [3211 ] Park Road                                    
  13) [3212 ] Western Park Entrance                        
  14) [3213 ] A path in the park                           
  15) [3214 ] The Pond                                     
  16) [3215 ] A path in the park                           
  17) [3216 ] Eastern Park Entrance                        
  18) [3217 ] Emerald Avenue                               
  19) [3218 ] Park Road                                    
  20) [3219 ] Emerald Avenue                               
  21) [3220 ] Road Crossing                                
  22) [3221 ] Emerald Avenue                               
  23) [3222 ] Park Road                                    
  24) [3223 ] Elm Street                                   
  25) [3224 ] End of Elm Street                            
  26) [3225 ] Emerald Avenue                               
  27) [3226 ] Park Road                                    
  28) [3227 ] On the Concourse                             
  29) [3228 ] On the Concourse                             
  30) [3229 ] On the Concourse                             
  31) [3230 ] On the Concourse                             
  32) [3231 ] Park Road                                    
  33) [3232 ] Emerald Avenue                               
  34) [3233 ] Emerald Avenue                               
  35) [3234 ] Emerald Avenue                               
  36) [3235 ] Park Road                                    
  37) [3236 ] Park Road                                    
  38) [3237 ] The Waiting Room                             (17824)(17823)
  39) [3238 ] The Mayor's Office                           
  40) [3239 ] Penny Lane                                   (17800)(17822)
  41) [3240 ] Penny Lane                                   (17819)(17821)
  42) [3241 ] End of Penny Lane                            (17820)(7320)

>[0;00m
[0mCHECKING: 33[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [3300 ] The Swamp of Night Secrets                   (23299)
   2) [3301 ] The Dark Swamp                               
   3) [3302 ] The Small Intersection                       
   4) [3303 ] The Edge of the Swamp                        
   5) [3304 ] In the Dark Swamp                            
   6) [3305 ] The Dark Swamp Path                          
   7) [3306 ] A Turn in the Path                           
   8) [3307 ] The Bloody Intersection                      
   9) [3308 ] The Rocky Path                               
  10) [3309 ] The Rocky Path                               
  11) [3310 ] Up the Rocky Hillside                        
  12) [3311 ] The Sparse Foothills                         
  13) [3312 ] Standing on Level Ground                     
  14) [3313 ] In the Foothills                             
  15) [3314 ] Before the Huge Tree                         
  16) [3315 ] Before the Dark Cave                         
  17) [3316 ] Inside the Horrid Cave                       
  18) [3317 ] The Hills Overlooking the Shore              
  19) [3318 ] The Hills Overlooking the Shoreline          
  20) [3319 ] The Hills Above the Shoreline                
  21) [3320 ] The Rocky Shore                              
  22) [3321 ] The Rocky Shoreline                          
  23) [3322 ] The Rocky Shore                              
  24) [3323 ] The Edge of the Sea                          
  25) [3324 ] The Dragon Sea Portal                        
  26) [3325 ] The Edge of the Sea                          
  27) [3327 ] The Swampy Path                              
  28) [3328 ] The Swampy Path                              
  29) [3329 ] The Swampy Path                              
  30) [3330 ] The Turn in the Swampy Path                  
  31) [3331 ] The Swampy Path                              
  32) [3332 ] Lost in the Mist                             
  33) [3333 ] Lost in the Mist                             
  34) [3334 ] Lost in the Mist                             
  35) [3335 ] Lost in the Mist                             
  36) [3336 ] Lost in the Mist                             
  37) [3337 ] Lost in the Mist                             
  38) [3338 ] Lost in the Mist                             
  39) [3339 ] The Solid Path                               
  40) [3340 ] A Forested Path                              
  41) [3341 ] The Gate Before the Ogre Village             
  42) [3342 ] Among the Crude Huts                         
  43) [3343 ] Inside the Gates                             
  44) [3344 ] Among the Crude Huts                         
  45) [3345 ] The Gathering Place                          
  46) [3346 ] The Firepit Before the Lodge                 
  47) [3347 ] The Village Dump                             
  48) [3348 ] The Entryway to the Lodge                    
  49) [3349 ] The Throne Room                              
  50) [3350 ] The Chieftain's Room                         
  51) [3351 ] The Frigid Wastelands                        
  52) [3352 ] The Frigid Wastelands                        
  53) [3353 ] The Ice Temple                               
  54) [3354 ] The Frigid Wastelands                        
  55) [3355 ] The Frigid Wastelands                        
  56) [3356 ] The Frigid Wastelands                        
  57) [3357 ] The Frigid Wastelands                        
  58) [3358 ] The Frigid Wastelands                        
  59) [3359 ] The Frigid Wastelands                        
  60) [3360 ] The Edge of the Frigid Wastes                
  61) [3361 ] On the Cliffside                             
  62) [3362 ] Before the Gates of Mahn-Tor                 
  63) [3363 ] The Village Streets of Mahn-Tor              
  64) [3364 ] Inside the Gates of Mahn-Tor                 
  65) [3365 ] The Village Streets of Mahn-Tor              
  66) [3366 ] The Village Streets of Mahn-Tor              
  67) [3367 ] The Square of Mahn-Tor                       
  68) [3368 ] The Streets of Mahn-Tor                      
  69) [3369 ] The Inn of the Broken Horn                   
  70) [3370 ] The Mahn-Tor General Store                   
  71) [3371 ] Mining Supply Shop                           
  72) [3372 ] Gorak's Training Room                        
  73) [3373 ] Darkoth's Sanctum                            
  74) [3374 ] Tyrgoth's Inner Sanctum                      
  75) [3375 ] The Road to the Keep of Mahn-Tor             
  76) [3376 ] A Small Guard House                          
  77) [3377 ] Before the Keep of Mahn-Tor                  
  78) [3378 ] A small guard house                          
  79) [3379 ] The Entryway to the Keep of Mahn-Tor         
  80) [3380 ] The Hall                                     
  81) [3381 ] The Grand Hall                               
  82) [3382 ] The Great Hall                               
  83) [3383 ] Standing Before the Throne                   
  84) [3384 ] The Great Hall                               
  85) [3385 ] The Secret Hallway                           
  86) [3386 ] Entry to the Royal Chambers                  
  87) [3387 ] The Guard Post                               
  88) [3388 ] The Guarded Hall                             
  89) [3389 ] The Guarded Hall                             
  90) [3390 ] Sumaron's Sanctum                            
  91) [3391 ] Amyrok's Arcane Study                        
  92) [3392 ] The Guarded Hall                             
  93) [3393 ] Mahn-Tor's Private Study                     
  94) [3394 ] Nasturn's Humble Abode                       
  95) [3395 ] The Main Living Room                         
  96) [3396 ] The Master Bedroom                           
  97) [3397 ] The End of the Guarded Hall                  
  98) [3398 ] Dorgar's Domicile                            
  99) [3399 ] Belrak's Green Room                          
 100) [3401 ] In the Frozen Tunnel                         (653)
 101) [3402 ] Sloping Passage                              
 102) [3403 ] Sloping Passage                              
 103) [3404 ] Frozen Tunnel                                
 104) [3405 ] A Bend in the Tunnel                         
 105) [3406 ] An Icy Intersection                          
 106) [3407 ] Wide Passage                                 
 107) [3408 ] Sloping Passage                              
 108) [3409 ] Icy Pool                                     
 109) [3410 ] Abandoned Bunkhouse                          
 110) [3411 ] Wide Passage                                 
